imdbID;title;year;runtime;genre;released;imdbRating;imdbVotes;country
2054;A Beast at Bay;1912;17 min;Short, Drama;1912-05-27;5,6;75;USA
2082;The Burglar's Dilemma;1912;15 min;Short, Drama;1912-12-16;6,1;210;USA
2101;Cleopatra;1912;88 min;Drama, History;1912-11-13;5,1;291;USA
2113;The Conquest of the Pole;1912;33 min;Short, Adventure, Sci-Fi;;6,9;458;France
2130;Dante's Inferno;1911;68 min;Adventure, Drama, Fantasy;1911-07-01;6,9;1048;Italy
2130;Dante's Inferno;1911;68 min;Adventure, Drama, Fantasy;1911-07-01;6,9;1050;Italy
2130;Dante's Inferno;1911;68 min;Adventure, Drama, Fantasy;1911-07-01;6,9;1050;Italy
2357;The Mender of Nets;1912;16 min;Short, Romance;1912-02-15;6,1;103;USA
2381;The Musketeers of Pig Alley;1912;17 min;Short, Crime, Drama;1912-10-31;6,7;1226;USA
2391;The New York Hat;1912;16 min;Short, Drama;1912-12-05;6,5;468;USA
2415;The Painted Lady;1912;12 min;Short, Drama;1912-10-24;6;306;USA
2461;The Life and Death of King Richard III;1912;55 min;Drama;1912-10-15;5,6;173;France, USA
2544;Tr�dg�rdsm�staren;1912;;Drama;1912-10-17;6;94;Sweden
2795;Death's Marathon;1913;17 min;Short, Drama, Romance;1913-06-14;6,2;336;USA
2844;Fantomas;1913;54 min;Crime, Drama;;6,8;1337;France
2985;The House of Darkness;1913;17 min;Short, Drama;1913-05-10;6,1;175;USA
3014;Ingeborg Holm;1913;96 min;Drama;1913-10-27;7;493;Sweden
3016;The Inside of the White Slave Traffic;1913;28 min;Short, Drama;1913-12-08;5,7;37;USA
3037;Juve Against Fantomas;1913;61 min;Crime, Drama;1913-10-02;6,6;909;France
3165;The Dead Man Who Killed;1913;90 min;Crime, Drama;1914-03-01;6,7;682;France
3419;The Student of Prague;1913;85 min;Drama, Fantasy, Horror;1913-09-01;6,5;994;Germany
3419;The Student of Prague;1913;85 min;Drama, Fantasy, Horror;1913-09-01;6,5;993;Germany
3471;Traffic in Souls;1913;88 min;Crime, Drama;1913-11-24;6;371;USA
3489;The Last Days of Pompeii;1913;88 min;Adventure, Drama;1913-08-13;6,1;358;Italy
3643;The Avenging Conscience: or 'Thou Shalt Not Kill';1914;78 min;Crime, Drama;1914-08-24;7;788;USA
3662;The Battle at Elderbush Gulch;1913;29 min;Short, Action, Western;1913-12-01;6,4;485;USA
3740;Cabiria;1914;148 min;Adventure, Drama, History;1914-06-01;6,6;2017;Italy
3772;Cinderella;1914;52 min;Fantasy, Drama;1914-12-28;6,9;753;USA
3930;Fantomas Against Fantomas;1914;59 min;Drama;1914-01-26;6,6;770;France
3952;Le faux magistrat;1914;70 min;Crime, Drama;1914-07-10;6,5;575;France
4008;Gertie the Dinosaur;1914;12 min;Animation, Short, Comedy;1914-09-15;7,3;1837;USA
4066;The Mysterious X;1914;84 min;Drama, Mystery;1914-04-01;6,7;258;Denmark
4100;His Musical Career;1914;16 min;Short, Comedy;1914-11-07;6;483;USA
4101;His New Profession;1914;16 min;Short, Comedy;1914-08-31;6,1;673;USA
4134;Hypocrites;1915;54 min;Drama;1915-01-20;5,9;257;USA
4134;Hypocrites;1915;54 min;Drama;1915-01-20;5,9;261;USA
4150;In the Land of the Head Hunters;1914;65 min;Drama, History;1914-12-07;5,8;223;USA
4181;Judith of Bethulia;1914;61 min;Drama;1914-03-08;7,7;897;USA
4194;The Knockout;1914;27 min;Short, Comedy;1914-06-11;5,9;720;USA
4210;Laughing Gas;1914;16 min;Short, Comedy;1914-07-09;5,7;739;USA
4277;Mabel at the Wheel;1914;18 min;Short, Comedy;1914-04-18;5,7;433;USA
4282;Mabel's Married Life;1914;17 min;Short, Comedy;1914-06-20;5,8;665;USA
4288;Making a Living;1914;13 min;Short, Comedy;1914-02-02;5,5;1115;USA
4413;The Ocean Waif;1916;40 min;Short, Comedy, Drama;1916-11-02;6,9;66;USA
4413;The Ocean Waif;1916;40 min;Short, Comedy, Drama;1916-11-02;6,7;69;USA
4465;The Perils of Pauline;1914;199 min;Action;1914-03-23;7,6;744;USA
4635;The Squaw Man;1914;74 min;Action, Drama, Romance;1914-02-15;6,2;619;USA
4707;Tillie's Punctured Romance;1914;82 min;Comedy;1914-12-21;7,3;2481;USA
4712;The Exile;1915;67 min;Drama;1915-03-20;6,6;47;Hungary
4873;Alice in Wonderland;1915;52 min;Adventure, Family, Fantasy;1915-01-19;6,3;219;USA
4936;The Bank;1915;25 min;Comedy, Short;1915-08-09;6,7;1094;USA
4972;The Birth of a Nation;1915;165 min;Drama, History, Romance;1915-03-03;6,8;15715;USA
5044;By the Sea;1915;20 min;Short, Comedy;1915-04-29;5,9;979;USA
5059;The Captive;1915;50 min;Drama, Romance, War;1915-04-22;5,2;16;USA
5060;Carmen;1915;59 min;Drama;1915-10-31;7;627;USA
5074;The Champion;1915;31 min;Short, Comedy, Sport;1915-03-11;6,9;1281;USA
5078;The Cheat;1915;59 min;Drama;1915-12-13;6,5;1660;USA
5084;Children of Eve;1915;73 min;Drama;1915-11-10;6,2;45;USA
5149;The Coward;1915;77 min;Drama, History, War;1915-11-14;6,1;146;USA
5198;The Dinosaur and the Missing Link: A Prehistoric Tragedy;1915;5 min;Comedy, Short, Animation;;6;190;USA
5339;A Fool There Was;1915;67 min;Drama;1915-01-12;5,9;438;USA
5529;Blind Justice;1916;100 min;Drama, Mystery, Thriller;1917-01-29;6,9;128;Denmark
5529;Blind Justice;1916;100 min;Drama, Mystery, Thriller;1917-01-29;6,9;128;Denmark
5542;In the Park;1915;14 min;Short, Comedy;1915-03-18;5,8;822;USA
5557;The Italian;1915;78 min;Drama;1915-01-01;6,4;175;USA
5571;A Jitney Elopement;1915;26 min;Short, Comedy;1915-04-01;6;692;USA
5622;Liliya Belgii;1915;14 min;Animation, Drama, Short;;6,9;104;Russia
5810;A Night Out;1915;34 min;Comedy, Short;1915-02-15;6,1;935;USA
5812;A Night in the Show;1915;30 min;Comedy, Short;1915-11-20;6,6;979;USA
5916;Posle smerti;1915;46 min;Drama;1995-03-07;6,5;490;Russia
5960;Regeneration;1915;72 min;Biography, Crime, Drama;1915-09-13;6,8;626;USA
6032;Shanghaied;1915;27 min;Short, Comedy;1915-10-04;6,3;789;USA
6145;That Little Band of Gold;1915;25 min;Comedy, Short;1915-03-15;5,5;99;USA
6177;The Tramp;1915;26 min;Short, Comedy;1915-04-12;7,1;1907;USA
6206;Les vampires;1915;399 min;Action, Adventure, Crime;1916-11-23;6,8;2878;France
6333;20,000 Leagues Under the Sea;1916;105 min;Action, Adventure, Sci-Fi;1916-12-24;7,1;1069;USA
6414;Behind the Screen;1916;30 min;Short, Comedy, Romance;1916-11-13;7;1481;USA
6517;Civilization;1916;78 min;Drama;1916-06-02;6,3;162;USA
6548;The Count;1916;24 min;Short, Comedy;1916-09-04;6,8;1248;USA
6589;The Devil's Needle;1916;59 min;Drama;1916-08-13;7,1;74;USA
6668;Fatty and Mabel Adrift;1916;34 min;Comedy, Short;1916-01-09;7;244;USA
